"","x","y","area"
"202",20744,10447,"domain_3"
"203",16959,11758,"domain_1"
"204",15959,17563,"domain_1"
"205",5614,21206,"domain_2"
"206",8644,21201,"domain_2"
"207",23267,9863,"domain_3"
"208",10135,6111,"domain_4"
"209",5852,11195,"domain_2"
"210",15435,5377,"domain_1"
"211",16216,20899,"domain_1"
"212",10661,19747,"domain_2"
"213",12915,8283,"other"
"214",21248,9866,"domain_3"
"215",7115,11919,"domain_2"
"216",13685,16551,"domain_4"
"217",14450,21627,"domain_4"
"218",5856,13806,"domain_2"
"219",21770,20891,"domain_3"
"220",20754,17120,"domain_3"
"221",16953,7406,"domain_1"
"222",10410,21053,"domain_2"
"223",13417,6541,"domain_4"
"224",11921,18440,"domain_4"
"225",16700,7261,"domain_1"
"226",4853,18741,"domain_2"
"227",15946,9439,"domain_1"
"228",14947,16404,"domain_1"
"229",9639,11915,"domain_2"
"230",7614,8146,"domain_2"
"231",9649,18588,"domain_2"
"232",10156,19748,"domain_2"
"233",10147,13655,"domain_2"
"234",8640,19170,"domain_2"
"235",4607,22948,"domain_2"
"236",11399,7415,"domain_4"
"237",8627,10175,"domain_2"
"238",20233,6386,"domain_5"
"239",17712,9001,"domain_1"
"240",20490,9722,"domain_3"
"241",21012,20747,"domain_3"
"242",13931,12343,"domain_1"
"243",18478,14658,"other"
"244",16711,14225,"domain_1"
"245",9649,18298,"domain_2"
"246",20496,13494,"domain_3"
"247",20500,16105,"domain_3"
"248",16206,14226,"domain_1"
"249",15201,17129,"domain_1"
"250",20001,19878,"domain_3"
"251",20738,6385,"domain_5"
"252",20257,22344,"domain_3"
"253",7125,18302,"domain_2"
"254",6614,14821,"domain_2"
"255",19982,7402,"domain_1"
"256",3840,16421,"domain_2"
"257",15435,5668,"domain_1"
"258",19747,19153,"domain_3"
"259",14948,17274,"domain_1"
"260",5613,20045,"domain_2"
"261",11917,15538,"domain_4"
"262",9383,9449,"domain_4"
"263",11401,8865,"other"
"264",13163,5236,"domain_4"
"265",16209,15967,"domain_1"
"266",11151,10462,"domain_4"
"267",19240,17703,"domain_3"
"268",4856,20481,"domain_2"
"269",14947,16114,"domain_1"
"270",23265,8122,"domain_3"
"271",14429,7990,"domain_4"
"272",12917,9734,"domain_4"
"273",4341,14099,"domain_2"
"274",18218,9580,"domain_1"
"275",5867,21350,"domain_2"
"276",16718,19158,"domain_1"
"277",11650,6399,"domain_4"
"278",10909,16990,"domain_2"
"279",14705,22933,"domain_4"
"280",9894,13220,"domain_2"
"281",7384,23089,"domain_2"
"282",14950,18145,"domain_1"
"283",7371,14384,"domain_2"
"284",18972,7403,"domain_1"
"285",11674,22067,"domain_2"
"286",9892,12349,"domain_2"
"287",8628,10756,"domain_2"
"288",3851,23384,"domain_2"
"289",7610,5825,"domain_2"
"290",20235,7546,"domain_1"
"291",10143,11334,"domain_4"
"292",14197,21193,"domain_4"
"293",11664,15393,"domain_4"
"294",5606,15403,"domain_2"
"295",10654,15395,"domain_2"
"296",18488,21041,"domain_1"
"297",8118,7565,"domain_2"
"298",16960,12049,"domain_1"
"299",18742,21766,"domain_4"
"300",16955,8567,"domain_1"
"301",5602,13372,"domain_2"
"302",6360,13516,"domain_2"
"303",18738,19445,"domain_1"
"304",6365,16707,"domain_2"
"305",21262,18861,"domain_3"
"306",17221,17706,"domain_1"
"307",16705,10743,"domain_1"
"308",13415,5090,"domain_4"
"309",15438,7118,"domain_1"
"310",8645,22362,"domain_2"
"311",3849,21934,"domain_2"
"312",9138,14237,"domain_2"
"313",11903,6834,"domain_4"
"314",17719,13353,"domain_1"
"315",14448,19886,"domain_4"
"316",14439,14083,"domain_4"
"317",23266,8992,"domain_3"
"318",14181,10457,"domain_4"
"319",15200,16839,"domain_1"
"320",6111,15982,"domain_2"
"321",4849,15839,"domain_2"
"322",22759,7542,"domain_3"
"323",13943,20177,"domain_4"
"324",16710,13935,"domain_1"
"325",22256,8994,"domain_3"
"326",22272,19439,"domain_3"
"327",8140,21782,"domain_2"
"328",4595,14824,"domain_2"
"329",8896,21056,"domain_2"
"330",20252,19152,"domain_3"
"331",17212,12193,"domain_1"
"332",8125,12207,"domain_2"
"333",21516,20456,"domain_3"
"334",5608,16853,"domain_2"
"335",11408,12927,"domain_6"
"336",14196,20612,"domain_4"
"337",9656,22650,"domain_2"
"338",15956,16112,"domain_1"
"339",13416,5671,"domain_4"
"340",4848,15549,"domain_2"
"341",4592,13083,"domain_2"
"342",6118,20044,"domain_2"
